index,Country,sequenced
0,Algeria,3
1,Andorra,1
2,Argentina,38
3,Aruba,5
4,Australia,11886
5,Austria,425
6,Bahrain,37
7,Bangladesh,324
8,Belarus,3
9,Belgium,1225
10,Belize,4
11,Benin,12
12,Bosnia and Herzegovina,31
13,Botswana,6
14,Brazil,1057
15,Brunei,5
16,Bulgaria,15
17,Cambodia,1
18,Cameroon,1
19,Canada,2475
20,Chile,167
21,China,910
22,Colombia,175
23,Costa Rica,91
24,Crimea,1
25,Croatia,22
26,Cuba,2
27,Curacao,4
28,Cyprus,8
29,Czech Republic,105
30,Congo,346
31,Denmark,757
32,Dominican Republic,8
33,Ecuador,89
34,Egypt,155
35,Estonia,20
36,Finland,267
37,France,1382
38,Gabon,4
39,Gambia,360
40,Georgia,22
41,Germany,504
42,Ghana,53
43,Greece,133
44,Guam,3
45,Guatemala,10
46,Hong Kong,229
47,Hungary,85
48,Iceland,601
49,India,3088
50,Indonesia,104
51,Iran,8
52,Ireland,329
53,Israel,402
54,Italy,708
55,Jamaica,8
56,Japan,650
57,Jordan,28
58,Kazakhstan,53
59,Kenya,290
60,Kosovo,4
61,Kuwait,8
62,Latvia,135
63,Lebanon,15
64,Lithuania,50
65,Luxembourg,271
66,Madagascar,2
67,Malaysia,118
68,Mali,21
69,Malta,10
70,Mexico,146
71,Moldova,9
72,Mongolia,1
73,Montenegro,12
74,Morocco,48
75,Myanmar,2
76,Nepal,1
77,Netherlands,2919
78,New Zealand,896
79,Nigeria,86
80,North Macedonia,32
81,Norway,291
82,Oman,203
83,Pakistan,14
84,Panama,314
85,Peru,379
86,Philippines,25
87,Poland,115
88,Portugal,1650
89,Qatar,16
90,Republic of the Congo,11
91,Romania,112
92,Russia,562
93,Saudi Arabia,562
94,Senegal,136
95,Serbia,29
96,Sierra Leone,11
97,Singapore,1100
98,Slovakia,16
99,Slovenia,5
100,South Africa,1409
101,South Korea,843
102,Spain,4262
103,Sri Lanka,14
104,Suriname,71
105,Sweden,681
106,Switzerland,2751
107,Taiwan,126
108,Thailand,258
109,Timor-Leste,19
110,Tunisia,8
111,Turkey,194
112,USA,33821
113,Uganda,20
114,Ukraine,53
115,United Arab Emirates,159
116,United Kingdom,61288
117,Uruguay,75
118,Venezuela,3
119,Vietnam,86
120,Zambia,1
