Province/State,Country,Cases
,Afghanistan,40357
,Albania,17651
,Algeria,54829
,Andorra,3623
,Angola,8049
,Antigua and Barbuda,119
,Argentina,1018999
,Armenia,66694
Australian Capital Territory,Australia,113
New South Wales,Australia,4357
Northern Territory,Australia,33
Queensland,Australia,1165
South Australia,Australia,484
Tasmania,Australia,230
Victoria,Australia,20323
Western Australia,Australia,738
,Austria,67451
,Azerbaijan,45879
,Bahamas,5923
,Bahrain,78533
,Bangladesh,391586
,Barbados,222
,Belarus,88909
,Belgium,240159
,Belize,2886
,Benin,2496
,Bhutan,331
,Bolivia,140037
,Bosnia and Herzegovina,35389
,Botswana,5609
,Brazil,5273954
,Brunei,147
,Bulgaria,31863
,Burkina Faso,2406
,Burma,38502
,Burundi,550
,Cabo Verde,7901
,Cambodia,286
,Cameroon,21570
Alberta,Canada,22996
British Columbia,Canada,11854
Diamond Princess,Canada,0
Grand Princess,Canada,13
Manitoba,Canada,3491
New Brunswick,Canada,313
Newfoundland and Labrador,Canada,287
Northwest Territories,Canada,6
Nova Scotia,Canada,1097
Ontario,Canada,68556
Prince Edward Island,Canada,64
Quebec,Canada,95216
Saskatchewan,Canada,2439
Yukon,Canada,17
,Central African Republic,4858
,Chad,1399
,Chile,494478
Anhui,China,991
Beijing,China,938
Chongqing,China,587
Fujian,China,419
Gansu,China,170
Guangdong,China,1892
Guangxi,China,260
Guizhou,China,147
Hainan,China,171
Hebei,China,368
Heilongjiang,China,948
Henan,China,1283
Hong Kong,China,5261
Hubei,China,68139
Hunan,China,1019
Inner Mongolia,China,275
Jiangsu,China,670
Jiangxi,China,935
Jilin,China,157
Liaoning,China,280
Macau,China,46
Ningxia,China,75
Qinghai,China,18
Shaanxi,China,438
Shandong,China,845
Shanghai,China,1097
Shanxi,China,209
Sichuan,China,731
Tianjin,China,256
Tibet,China,1
Xinjiang,China,902
Yunnan,China,211
Zhejiang,China,1283
,Colombia,974139
,Comoros,504
,Congo ,16222
,Costa Rica,97922
,Cote d'Ivoire,20342
,Croatia,26863
,Cuba,6305
,Cyprus,2839
,Czech Republic,193946
Faroe Islands,Denmark,488
Greenland,Denmark,16
,Denmark,36373
,Diamond Princess,712
,Djibouti,5499
,Dominica,33
,Dominican Republic,121973
,Ecuador,154115
,Egypt,105705
,El Salvador,31975
,Equatorial Guinea,5074
,Eritrea,452
,Estonia,4127
,Eswatini,5800
,Ethiopia,90490
,Fiji,32
,Finland,13849
French Guiana,France,10268
French Polynesia,France,4548
Guadeloupe,France,7329
Martinique,France,2257
Mayotte,France,4159
New Caledonia,France,27
Reunion,France,4921
Saint Barthelemy,France,72
Saint Pierre and Miquelon,France,16
St Martin,France,531
,France,939147
,Gabon,8884
,Gambia,3655
,Georgia,19857
,Germany,385591
,Ghana,47461
,Greece,26469
,Grenada,27
,Guatemala,102219
,Guinea,11538
,Guinea-Bissau,2403
,Guyana,3796
,Haiti,8976
,Holy See,27
,Honduras,90232
,Hungary,48757
,Iceland,4193
,India,7651107
,Indonesia,368842
,Iran,539670
,Iraq,434598
,Ireland,52256
,Israel,306162
,Italy,434449
,Jamaica,8374
,Japan,93895
,Jordan,40972
,Kazakhstan,109766
,Kenya,45647
,"Korea, South",25424
,Kosovo,17139
,Kuwait,117718
,Kyrgyzstan,52910
,Laos,23
,Latvia,3609
,Lebanon,64336
,Lesotho,1918
,Liberia,1384
,Libya,50906
,Liechtenstein,235
,Lithuania,7928
,Luxembourg,11241
,MS Zaandam,9
,Madagascar,16810
,Malawi,5861
,Malaysia,22225
,Maldives,11271
,Mali,3411
,Malta,4871
,Marshall Islands,0
,Mauritania,7634
,Mauritius,419
,Mexico,860714
,Moldova,67958
,Monaco,271
,Mongolia,327
,Montenegro,15892
,Morocco,179003
,Mozambique,11190
,Namibia,12367
,Nepal,139129
Aruba,Netherlands,4355
"Bonaire, Sint Eustatius and Saba",Netherlands,150
Curacao,Netherlands,759
Sint Maarten,Netherlands,756
,Netherlands,244391
,New Zealand,1912
,Nicaragua,5434
,Niger,1212
,Nigeria,61630
,North Macedonia,24196
,Norway,16772
,Oman,111033
,Pakistan,324744
,Panama,125739
,Papua New Guinea,581
,Paraguay,56073
,Peru,870876
,Philippines,360775
,Poland,192539
,Portugal,103736
,Qatar,129944
,Romania,186254
,Russia,1422775
,Rwanda,4996
,Saint Kitts and Nevis,19
,Saint Lucia,36
,Saint Vincent and the Grenadines,68
,San Marino,766
,Sao Tome and Principe,933
,Saudi Arabia,342968
,Senegal,15459
,Serbia,36608
,Seychelles,149
,Sierra Leone,2336
,Singapore,57921
,Slovakia,31400
,Slovenia,14473
,Solomon Islands,3
,Somalia,3890
,South Africa,706304
,South Sudan,2847
,Spain,988322
,Sri Lanka,5811
,Sudan,13724
,Suriname,5144
,Sweden,106380
,Switzerland,86167
,Syria,5180
,Taiwan*,543
,Tajikistan,10574
,Tanzania,509
,Thailand,3709
,Timor-Leste,29
,Togo,2104
,Trinidad and Tobago,5333
,Tunisia,44450
,Turkey,351413
,USA,8274887
,Uganda,10788
,Ukraine,317967
,United Arab Emirates,117594
Anguilla,United Kingdom,3
Bermuda,United Kingdom,188
British Virgin Islands,United Kingdom,71
Cayman Islands,United Kingdom,235
Channel Islands,United Kingdom,768
Falkland Islands (Malvinas),United Kingdom,13
Gibraltar,United Kingdom,608
Isle of Man,United Kingdom,348
Montserrat,United Kingdom,13
Turks and Caicos Islands,United Kingdom,698
,United Kingdom,762542
,Uruguay,2623
,Uzbekistan,63831
,Venezuela,87644
,Vietnam,1141
,West Bank and Gaza,48129
,Western Sahara,10
,Yemen,2057
,Zambia,15982
,Zimbabwe,8187
