,Submission date,Month,region,Country,index,daily
2,2020-02-25,02-20,SouthAmerica,Brazil,2,1.0
87,2020-03-25,03-20,SouthAmerica,Ecuador,87,1.0
375,2020-04-29,04-20,SouthAmerica,Brazil,375,13.0
803,2020-05-27,05-20,SouthAmerica,Chile,803,20.0
1343,2020-06-30,06-20,SouthAmerica,Brazil,1343,9.0
1674,2020-07-31,07-20,SouthAmerica,Argentina,1674,7.0
2136,2020-08-31,08-20,SouthAmerica,Brazil,2136,8.0
2784,2020-09-30,09-20,SouthAmerica,Brazil,2784,8.0
3148,2020-10-27,10-20,SouthAmerica,Brazil,3148,4.0
4851,2020-11-30,11-20,SouthAmerica,Uruguay,4851,78.0
6566,2020-12-30,12-20,SouthAmerica,Peru,6566,4.0
9555,2021-01-31,01-21,SouthAmerica,Brazil,9555,17.0
16337,2021-02-28,02-21,SouthAmerica,Brazil,16337,12.0
24402,2021-03-31,03-21,SouthAmerica,Brazil,24402,2.0
34462,2021-04-30,04-21,SouthAmerica,Colombia,34462,601.0
45778,2021-05-31,05-21,SouthAmerica,Brazil,45778,349.0
54764,2021-06-30,06-21,SouthAmerica,Brazil,54764,1077.0
60108,2021-07-31,07-21,SouthAmerica,Brazil,60108,340.0
71900,2021-08-31,08-21,SouthAmerica,Argentina,71900,1571.0
94054,2021-09-30,09-21,SouthAmerica,Brazil,94054,805.0
114150,2021-10-31,10-21,SouthAmerica,Brazil,114150,220.0
138245,2021-11-30,11-21,SouthAmerica,Brazil,138245,1335.0
150866,2021-12-18,12-21,SouthAmerica,Colombia,150866,336.0
