,Country,Total_Cases,sequenced,Population,Continent,cases_per_pop,sequenced_per_cases,sequenced_per_mnpop,cases_per_mnpop
0,India,34746838,95696,1389456823,Asia,0.025007497480186183,0.002754092329207049,68.87295698284537,25007.497480186183
1,Brazil,22215856,87089,213613410,South America,0.10400028724788392,0.003920128038280407,407.694442029646,104000.28724788391
2,Russia,10241812,11664,145978239,Asia,0.07015985444241453,0.0011388609749915348,79.90232023555237,70159.85444241452
3,Turkey,9171119,75684,84971058,Asia,0.1079322679493999,0.008252428084293748,890.7032792271458,107932.2679493999
4,France,8625849,165992,65374481,Europe,0.13194520045214583,0.019243555040205317,2539.094727191792,131945.20045214583
5,Germany,6809622,308516,83971144,Europe,0.08109478656144067,0.045305892162589935,3674.071654900879,81094.78656144068
6,Iran,6173369,1176,84740884,Asia,0.07284994808409126,0.0001904956596633054,13.877598916716517,72849.94808409126
7,Spain,5455527,81129,46767447,Europe,0.11665223034304181,0.014870973968234415,1734.7322807678597,116652.23034304181
8,Italy,5405360,85210,60399580,Europe,0.08949333753645307,0.015763982417452308,1410.7713994037706,89493.33753645307
9,Argentina,5395044,12369,45484798,South America,0.11861202505505246,0.0022926597076872775,271.9370106909126,118612.02505505247
10,Colombia,5107323,9433,51260588,South America,0.09963449892537324,0.0018469558318516374,184.02051884383377,99634.49892537323
11,Indonesia,4260677,10358,275537974,Asia,0.015463120883657219,0.0024310690531105738,37.591914644766895,15463.120883657219
12,Poland,3968450,35133,37817594,Europe,0.10493660701947354,0.0088530786579143,929.012036038041,104936.60701947354
13,Mexico,3933386,41376,129876205,North America,0.030285655482465014,0.010519181183845165,318.58029729156317,30285.655482465016
14,Ukraine,3610687,491,43549471,Europe,0.08291000825245386,0.00013598520170815138,11.274534195834434,82910.00825245386
15,Netherlands,2980003,80899,17161376,Europe,0.17364592442936977,0.02714728810675694,4714.015939048244,173645.92442936977
16,Philippines,2837555,12780,110595515,Asia,0.025657053091167396,0.004503877457881874,115.55622305298726,25657.053091167396
17,Malaysia,2715847,6737,32654497,Asia,0.08316915737516949,0.0024806257495359643,206.3115533520544,83169.15737516948
18,Peru,2263739,11437,33291219,South America,0.0679980808152444,0.005052260883432233,343.54404385132307,67998.08081524441
19,Thailand,2194053,9112,69922401,Asia,0.03137839903409495,0.004153044616515645,130.31589118342774,31378.39903409495
20,Iraq,2090480,298,40847407,Asia,0.05117778957180807,0.00014255099307336114,7.295444726760746,51177.78957180807
21,Belgium,1999764,72184,11624850,Europe,0.17202492935392716,0.03609625935860432,6209.456466104939,172024.92935392715
22,Canada,1866907,225860,37972814,North America,0.049164304757608954,0.12098085228669665,5947.939491658427,49164.30475760895
23,Romania,1798205,8125,19147654,Europe,0.0939125492867168,0.004518394732524934,424.33396801508945,93912.5492867168
24,Chile,1791776,17069,19230588,South America,0.09317323006452012,0.009526302394942225,887.596364708141,93173.23006452012
25,Japan,1729777,180815,126205207,Asia,0.013706066818621835,0.10453081524381466,1432.7063383367374,13706.066818621835
26,Bangladesh,1581343,3646,165832413,Asia,0.009535789604653464,0.0023056351468340518,21.986051665303815,9535.789604653464
27,Vietnam,1524368,1940,97948986,Asia,0.015562876781593226,0.0012726585706338627,19.806228519813367,15562.876781593226
28,Israel,1355799,33139,9197590,Asia,0.14740807102730172,0.024442413661612084,3603.009049109604,147408.07102730172
29,Pakistan,1291108,1619,223866538,Asia,0.005767311236125874,0.0012539617135049895,7.23198747996898,5767.311236125874
30,Serbia,1282461,564,8712705,Europe,0.14719435582864335,0.00043977945528168107,64.7330536268587,147194.35582864334
31,Sweden,1250885,135172,10143210,Europe,0.12332239991087635,0.10806109274633559,13326.353294469896,123322.39991087635
32,Austria,1245943,73248,9042267,Europe,0.1377909986511126,0.058789206247797855,8100.623438790295,137790.9986511126
33,Hungary,1228400,435,9643169,Europe,0.12738550988788022,0.0003541191794203842,45.109652231543386,127385.50988788022
34,Portugal,1227854,23115,10175881,Europe,0.120663164201704,0.01882552811653503,2271.5477903092615,120663.164201704
35,Switzerland,1170018,98639,8698768,Europe,0.1345038745716635,0.0843055405985207,11339.421858359712,134503.8745716635
36,Kazakhstan,1066934,625,18933023,Asia,0.056353071561789154,0.0005857906862092688,33.011104460180505,56353.071561789155
37,Jordan,1036665,1213,10273699,Asia,0.10090474716068672,0.0011700983442095565,118.0684775756035,100904.74716068672
38,Greece,1034070,12741,10387359,Europe,0.09955080978716534,0.012321216165249935,1226.587046813343,99550.80978716533
39,Cuba,964097,1067,11321777,North America,0.0851542120993904,0.0011067351106786973,94.24315635257611,85154.21209939041
40,Morocco,952814,553,37215067,Africa,0.025602909703212412,0.0005803860984410389,14.859572871385668,25602.909703212412
41,Georgia,910456,661,3983805,Europe,0.22853929848474008,0.000726009823648809,165.92177578972866,228539.29848474008
42,Nepal,825954,368,29500464,Asia,0.027998000302639308,0.0004455453935691334,12.474380063988146,27998.00030263931
43,Slovakia,807339,16389,5461492,Europe,0.14782389134690668,0.020300022667058076,3000.828345074936,147823.8913469067
44,Bulgaria,724793,10164,6911735,Europe,0.10486411877770198,0.014023314242825193,1470.542490416661,104864.11877770198
45,Tunisia,721031,139,11904751,Africa,0.060566659479060085,0.00019277950601291762,11.676010695225797,60566.65947906009
46,Lebanon,700943,1085,6804019,Asia,0.10301896570247673,0.0015479147377176175,159.46457527528952,103018.96570247674
47,Belarus,684628,52,9447148,Europe,0.07246927855898945,7.595365658430564e-05,5.504306696581868,72469.27855898945
48,Croatia,675363,12920,4087509,Europe,0.16522605821785347,0.019130452808341587,3160.8493094449454,165226.05821785345
49,Ireland,656600,45872,4976189,Europe,0.13194836450142872,0.06986293024672556,9218.299385332833,131948.3645014287
50,Guatemala,623662,1420,18145481,North America,0.034370100191888,0.0022768743325711684,78.25639893480917,34370.100191888
51,Denmark,617274,259387,5806453,Europe,0.1063082746041344,0.42021371384506717,44672.194883864555,106308.2746041344
52,Azerbaijan,610318,15,10202871,Europe,0.05981826095811659,2.457735147906501e-05,1.4701744244340635,59818.26095811659
53,Bolivia,562638,155,11783753,South America,0.04774692748566607,0.00027548796917378494,13.153704087314118,47746.92748566607
54,Ecuador,536129,3589,17829222,South America,0.03007024086637095,0.006694284397971384,201.29874427498854,30070.24086637095
55,Lithuania,502969,24588,2695566,Europe,0.18659123909412717,0.04888571661474166,9121.646437149007,186591.23909412717
56,Panama,482677,1262,4361953,North America,0.11065616708845785,0.0026145849087485006,289.3199445294344,110656.16708845785
57,Paraguay,464582,887,7193506,South America,0.06458352853254032,0.0019092431476036523,123.30565929881756,64583.52853254032
58,Slovenia,448562,37361,2079138,Europe,0.2157442170745761,0.08329060419741306,17969.466192239284,215744.21707457613
59,Venezuela,441228,196,28379499,South America,0.015547420340295649,0.00044421478238008467,6.906393943036133,15547.420340295648
60,Kuwait,414098,380,4314467,Asia,0.09597894710980522,0.0009176571729397389,88.07576926651659,95978.94710980522
61,Uruguay,404255,743,3482141,South America,0.11609380550643986,0.0018379488194332784,213.3744727740778,116093.80550643985
62,Mongolia,386870,108,3314959,Asia,0.11670430916340142,0.00027916354330912195,32.57958846549836,116704.30916340143
63,Honduras,378804,116,10014035,North America,0.037827309371297385,0.00030622696698028533,11.58374221779732,37827.309371297386
64,Ethiopia,376375,524,116932809,Africa,0.00321872880005816,0.0013922284955164396,4.481205954780408,3218.7288000581602
65,Egypt,375330,1125,103673178,Africa,0.003620319230495664,0.0029973623211573814,10.85140845204919,3620.319230495664
66,Moldova,372200,125,4027397,Europe,0.09241701277524912,0.00033584094572810315,31.03741697180586,92417.01277524912
67,Armenia,343708,143,2967115,Europe,0.11583912318868665,0.00041605083384733553,48.1949637947973,115839.12318868666
68,Norway,339006,36363,5450802,Europe,0.062193783593680343,0.10726358825507513,6671.128395417775,62193.783593680346
69,Oman,304843,899,5196406,Asia,0.05866419983350031,0.002949059023825379,173.00418789447937,58664.19983350031
70,Bahrain,278499,2269,1742261,Asia,0.1598491844792485,0.008147246489215401,1302.3307070525025,159849.1844792485
71,Singapore,275655,10687,5882426,Asia,0.04686076798926157,0.038769476338176345,1816.767435748448,46860.76798926157
72,Latvia,267139,6149,1871543,Europe,0.14273730285652,0.0230179794039807,3285.5242973311324,142737.30285652
73,Kenya,263707,5317,54591518,Africa,0.004830548950846174,0.020162528867265564,97.39608266617535,4830.548950846174
74,Australia,246797,48676,25705839,Oceania,0.009600814818765496,0.1972309225800962,1893.5775642257777,9600.814818765495
75,Qatar,246537,4414,2807805,Asia,0.08780417443519048,0.017904006295201128,1572.0464918325881,87804.17443519048
76,Estonia,232506,7889,1327159,Europe,0.17519076463332578,0.033930307174868606,5944.27645820885,175190.76463332577
77,Nigeria,223887,3795,209672681,Africa,0.0010677928995432647,0.016950515215264843,18.09963979045987,1067.7928995432646
78,Finland,219250,23013,5546739,Europe,0.0395277297165055,0.10496237172177879,4148.9242598218525,39527.7297165055
79,Zambia,216508,1073,18739391,Africa,0.011553630531536484,0.00495593696306834,57.259064608876564,11553.630531536484
80,Algeria,214592,74,44400501,Africa,0.004833098617513348,0.000344840441395765,1.6666478605725643,4833.098617513348
81,Albania,205777,49,2875597,Europe,0.07155974915817481,0.00023812185035256613,17.039939880310072,71559.74915817482
82,Uzbekistan,197268,90,33806384,Asia,0.0058352292277103635,0.0004562321309082061,2.662219064896145,5835.229227710363
83,Zimbabwe,192796,710,15013320,Africa,0.012841663269683189,0.0036826490176144733,47.291338624634655,12841.66326968319
84,Kyrgyzstan,184218,20,6598944,Asia,0.027916284787384164,0.00010856702385217514,3.0307879563760505,27916.284787384164
85,Montenegro,160993,356,628122,Europe,0.256308487841534,0.0022112762666699794,566.7688761100551,256308.487841534
86,Mozambique,158111,927,31859957,Africa,0.004962687175001523,0.005862969685853609,29.096084467408414,4962.687175001523
87,Afghanistan,157787,99,39535314,Asia,0.003991039504580639,0.000627428115117215,2.504090393717374,3991.0395045806385
88,Cyprus,145161,762,1213489,Europe,0.1196228395972275,0.005249343832020997,627.9414152085434,119622.8395972275
89,Namibia,134694,438,2572834,Africa,0.05235238651230511,0.0032518152256225223,170.2402875583889,52352.38651230511
90,Ghana,131911,1901,31522372,Africa,0.004184678741815495,0.01441123181539068,60.30637542124051,4184.678741815495
91,China,129678,1365,1439323776,Asia,9.009647597178301e-05,0.010526072271318188,0.9483620174700707,90.09647597178301
92,Uganda,129130,821,46736384,Africa,0.002762943748493679,0.006357933865097189,17.56661362590653,2762.943748493679
93,Cambodia,120410,1889,16879858,Asia,0.007133353846934021,0.015688065775267834,111.90852434896075,7133.353846934021
94,Cameroon,107662,556,27002783,Africa,0.003987070517879583,0.00516431052739128,20.59047024893693,3987.0705178795824
95,Rwanda,101582,708,13174242,Africa,0.007710652347209046,0.006969738733240141,53.7412323228919,7710.652347209047
96,Luxembourg,96108,19242,633051,Europe,0.15181715217257377,0.20021226120614308,30395.655326348115,151817.15217257378
97,Maldives,93957,722,547152,Asia,0.1717201070269322,0.007684366252647488,1319.5601953387725,171720.10702693218
98,Jamaica,92018,312,2970194,North America,0.030980467942498032,0.003390640961551001,105.04364361385149,30980.46794249803
99,Senegal,74161,739,17048803,Africa,0.004349924155965671,0.009964806299807177,43.346151633050134,4349.924155965671
100,Angola,65938,1055,33570916,Africa,0.0019641406269641257,0.01599987867390579,31.426011729915263,1964.1406269641257
101,Mauritius,65832,386,1273244,Africa,0.05170415097184829,0.0058634098918459105,303.1626302578296,51704.150971848285
102,Fiji,52623,531,900976,Oceania,0.05840666122072064,0.01009064477509834,589.3608708778036,58406.66122072064
103,Suriname,51406,876,590295,South America,0.0870852709238601,0.017040812356534256,1484.0037608314487,87085.27092386011
104,Sudan,45901,116,44557767,Africa,0.0010301458778219294,0.0025271780571229385,2.6033620580672276,1030.1458778219294
105,Madagascar,45794,789,28183057,Africa,0.0016248769606505072,0.017229331353452417,27.99554356363825,1624.8769606505073
106,Malta,41850,617,442365,Europe,0.09460513376962464,0.014743130227001194,1394.7758073084442,94605.13376962463
107,Guyana,38817,60,789202,South America,0.04918512624144389,0.0015457145065306437,76.02616313694085,49185.12624144389
108,Gabon,37743,316,2262074,Africa,0.0166851305483375,0.00837241342765546,139.69481104508517,16685.1305483375
109,Belize,31246,321,402637,North America,0.07760339958821469,0.010273314984317992,797.2441678236228,77603.39958821468
110,Guinea,30814,311,13378828,Africa,0.0023031912810299975,0.010092814954241578,23.245683403658376,2303.1912810299973
111,Barbados,27169,78,287621,North America,0.09446111375734038,0.0028709190621664395,271.190212119421,94461.11375734038
112,Togo,26678,362,8412992,Africa,0.003171047826979985,0.013569233075942724,43.028687059253116,3171.047826979985
113,Haiti,25917,95,11499262,North America,0.0022537968088734736,0.003665547709997299,8.261399731565383,2253.7968088734738
114,Benin,24907,778,12342623,Africa,0.0020179665213788025,0.031236198659011522,63.0336031490227,2017.9665213788026
115,Seychelles,24128,543,98772,Africa,0.24427975539626615,0.02250497347480106,5497.509415623861,244279.75539626615
116,Somalia,23169,37,16199349,Africa,0.0014302426597513271,0.0015969614571194268,2.2840424019508436,1430.2426597513272
117,Iceland,20890,9832,342788,Europe,0.06094145652706629,0.4706558161799904,28682.450960943792,60941.45652706629
118,Andorra,20549,37,77351,Europe,0.26565913821411485,0.0018005742371891575,478.3390001422089,265659.1382141149
119,Taiwan,16816,267,23846915,Asia,0.0007051645883754774,0.015877735490009516,11.196416811147271,705.1645883754775
120,Taiwan,16816,267,23846915, Asia,0.0007051645883754774,0.015877735490009516,11.196416811147271,705.1645883754775
121,Brunei,15386,149,440398,Asia,0.034936580093460914,0.00968412842844144,338.33032847560617,34936.580093460914
122,Djibouti,13535,367,997987,Africa,0.013562300911735324,0.027114887329146655,367.74026114568625,13562.300911735323
123,Gambia,10051,948,2463536,Africa,0.004079907904735307,0.09431897323649388,384.8127244740893,4079.9079047353075
124,Niger,7199,43,24808944,Africa,0.0002901776069146675,0.005973051812751771,1.733245881001626,290.17760691466754
125,Dominica,6430,9,72111,North America,0.08916808808642232,0.0013996889580093312,124.80758830136872,89168.08808642231
126,Grenada,5919,12,112887,North America,0.052432963937388714,0.0020273694880892043,106.30099125674347,52432.96393738871
127,Liberia,5916,77,5139939,Africa,0.0011509864222124036,0.013015551048005409,14.980722533866647,1150.9864222124036
128,Chad,5703,9,16751138,Africa,0.0003404544813612066,0.0015781167806417674,0.53727693008081,340.4544813612066
129,Liechtenstein,5703,369,38204,Europe,0.14927756255889435,0.06470278800631246,9658.674484347188,149277.56255889434
130,Monaco,4406,84,39436,Europe,0.1117253271122832,0.019064911484339538,2130.033471954559,111725.3271122832
